"Timestamp","Concorda em participar neste estudo de forma voluntária?","Idade","Género (opcional)","Com que frequência joga videojogos?","Qual é a sua experiência com jogos multijogador competitivos/cooperativos?","Já conhecia o BackToSchool antes desta sessão?","Conseguiu experimentar pelo menos uma fase de quiz e uma fase de corrida/intervalo?","Usou comunicação por voz durante o teste?","Testou o jogo sozinho ou com outros jogadores?","Indique o número total de jogadores na lobby em que estiveste presente.","Avaliação de elementos específicos do BackToSchool [Compreendi rapidamente o objetivo geral do jogo.]","Avaliação de elementos específicos do BackToSchool [Foi fácil perceber como responder às perguntas durante a fase de quiz.]","Avaliação de elementos específicos do BackToSchool [Os controlos pareceram-me adequados ao tipo de jogo.]","Avaliação de elementos específicos do BackToSchool [O feedback visual e sonoro ajudou-me a perceber o que estava a acontecer.]","Avaliação de elementos específicos do BackToSchool [A alternância entre quiz e corrida tornou a experiência mais interessante.]","Avaliação de elementos específicos do BackToSchool [A presença do Vigia acrescentou tensão de forma positiva.]","Avaliação de elementos específicos do BackToSchool [As interações físicas entre jogadores e objetos enriqueceram a experiência.]","Avaliação de elementos específicos do BackToSchool [O equilíbrio entre conhecimento, caos e corrida pareceu-me adequado.]","Avaliação de elementos específicos do BackToSchool [O jogo conseguiu criar uma experiência diferente de um quiz tradicional.]","GEQ - Bloco 1 [Senti-me satisfeito/a.]","GEQ - Bloco 1 [Senti-me habilidoso/a.]","GEQ - Bloco 1 [Fiquei interessado/a na história do jogo.]","GEQ - Bloco 1 [Achei divertido.]","GEQ - Bloco 1 [Estive completamente absorvido/a pelo jogo.]","GEQ - Bloco 1 [Senti-me feliz.]","GEQ - Bloco 1 [O jogo pôs-me de mau humor.]","GEQ - Bloco 1 [Pensei noutras coisas.]","GEQ - Bloco 1 [Achei-o cansativo.]","GEQ - Bloco 1 [Senti-me competente.]","GEQ - Bloco 1 [Achei-o difícil.]","GEQ - Bloco 2 [Achei-o esteticamente agradável.]","GEQ - Bloco 2 [Esqueci-me de tudo o que me rodeava.]","GEQ - Bloco 2 [Senti-me bem.]","GEQ - Bloco 2 [Fui bom/boa a jogá-lo.]","GEQ - Bloco 2 [Senti-me aborrecido/a.]","GEQ - Bloco 2 [Senti-me bem-sucedido/a.]","GEQ - Bloco 2 [Senti-me imaginativo/a.]","GEQ - Bloco 2 [Senti que podia explorar coisas.]","GEQ - Bloco 2 [Gostei da experiência.]","GEQ - Bloco 2 [Fui rápido/a a atingir os objetivos do jogo.]","GEQ - Bloco 2 [Senti-me incomodado/a.]","GEQ - Bloco 3 [Senti-me pressionado/a.]","GEQ - Bloco 3 [Senti-me irritado/a.]","GEQ - Bloco 3 [Perdi a noção do tempo.]","GEQ - Bloco 3 [Senti-me desafiado/a.]","GEQ - Bloco 3 [Achei-o impressionante.]","GEQ - Bloco 3 [Estive profundamente concentrado/a no jogo.]","GEQ - Bloco 3 [Senti-me frustrado/a.]","GEQ - Bloco 3 [Pareceu-me uma experiência rica.]","GEQ - Bloco 3 [Perdi a ligação com o mundo exterior.]","GEQ - Bloco 3 [Senti pressão do tempo.]","GEQ - Bloco 3 [Tive de fazer muito esforço.]","Durante esta sessão, jogou com outros participantes?","GEQ - Presença social - Bloco 1 [Empatizei com os outros jogadores.]","GEQ - Presença social - Bloco 1 [As minhas ações dependeram das ações dos outros.]","GEQ - Presença social - Bloco 1 [As ações dos outros dependeram das minhas.]","GEQ - Presença social - Bloco 1 [Senti-me ligado/a aos outros.]","GEQ - Presença social - Bloco 1 [Os outros prestaram muita atenção a mim.]","GEQ - Presença social - Bloco 1 [Prestei muita atenção aos outros.]","GEQ - Presença social - Bloco 1 [Senti ciúmes dos outros.]","GEQ - Presença social - Bloco 1 [Gostei de estar com os outros.]","GEQ - Presença social - Bloco 1 [Quando eu estava feliz, os outros também estavam felizes.]","GEQ - Presença social - Bloco 2 [Quando os outros estavam felizes, eu também estava feliz.]","GEQ - Presença social - Bloco 2 [Influenciei o estado de espírito dos outros.]","GEQ - Presença social - Bloco 2 [Fui influenciado/a pelo estado de espírito dos outros.]","GEQ - Presença social - Bloco 2 [Admirei os outros.]","GEQ - Presença social - Bloco 2 [O que os outros fizeram afetou o que eu fiz.]","GEQ - Presença social - Bloco 2 [O que eu fiz afetou o que os outros fizeram.]","GEQ - Presença social - Bloco 2 [Senti vontade de me vingar.]","GEQ - Presença social - Bloco 2 [Senti satisfação com o infortúnio dos outros.]","GEQ - Pós-jogo - Bloco 1 [Senti-me revitalizado/a.]","GEQ - Pós-jogo - Bloco 1 [Senti-me mal.]","GEQ - Pós-jogo - Bloco 1 [Tive dificuldade em voltar à realidade.]","GEQ - Pós-jogo - Bloco 1 [Senti-me culpado/a.]","GEQ - Pós-jogo - Bloco 1 [Pareceu uma vitória.]","GEQ - Pós-jogo - Bloco 1 [Pareceu-me uma perda de tempo.]","GEQ - Pós-jogo - Bloco 1 [Senti-me cheio/a de energia.]","GEQ - Pós-jogo - Bloco 1 [Senti-me satisfeito/a.]","GEQ - Pós-jogo - Bloco 1 [Senti-me desorientado/a.]","GEQ - Pós-jogo - Bloco 2 [Senti-me exausto/a.]","GEQ - Pós-jogo - Bloco 2 [Senti que poderia ter feito coisas mais úteis.]","GEQ - Pós-jogo - Bloco 2 [Senti-me poderoso/a.]","GEQ - Pós-jogo - Bloco 2 [Senti-me cansado/a.]","GEQ - Pós-jogo - Bloco 2 [Senti arrependimento.]","GEQ - Pós-jogo - Bloco 2 [Senti vergonha.]","GEQ - Pós-jogo - Bloco 2 [Senti orgulho.]","GEQ - Pós-jogo - Bloco 2 [Tive a sensação de ter regressado de uma viagem.]","Que elemento do BackToSchool achou mais divertido ou mais conseguido?","Que parte do jogo lhe causou mais frustração, confusão ou dificuldade?","Se pudesse mudar apenas uma coisa no jogo, o que mudaria?","Comentários adicionais (opcional)"
"2026/06/16 11:12:47 PM GMT+1","Sim, concordo","23","Masculino","Todos os dias","Muito elevada","Não","Sim","Sim","Com outros jogadores","6","Concordo totalmente","Concordo","Concordo","Concordo","Concordo totalmente","Nem concordo nem discordo","Concordo","Concordo totalmente","Concordo","Bastante (3)","Ligeiramente (1)","Nada (0)","Bastante (3)","Bastante (3)","Bastante (3)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Nada (0)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Bastante (3)","Bastante (3)","Extremamente (4)","Bastante (3)","Bastante (3)","Nada (0)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Bastante (3)","Nada (0)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Sim","Bastante (3)","Bastante (3)","Bastante (3)","Bastante (3)","Moderadamente (2)","Bastante (3)","Nada (0)","Bastante (3)","Bastante (3)","Bastante (3)","Bastante (3)","Moderadamente (2)","Ligeiramente (1)","Bastante (3)","Bastante (3)","Extremamente (4)","Extremamente (4)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Bastante (3)","Nada (0)","Bastante (3)","Bastante (3)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Bastante (3)","Nada (0)","Nada (0)","Nada (0)","Extremamente (4)","Nada (0)","Os empurrões","Saber qual era a minha mesa","Saber qual era a minha mesa",""
"2026/06/16 11:13:23 PM GMT+1","Sim, concordo","23","Masculino","Todos os dias","Muito elevada","Não","Sim","Não","Com outros jogadores","6","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo","Concordo totalmente","Nem concordo nem discordo","Nem concordo nem discordo","Concordo totalmente","Concordo","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Bastante (3)","Moderadamente (2)","Extremamente (4)","Nada (0)","Bastante (3)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Extremamente (4)","Nada (0)","Extremamente (4)","Extremamente (4)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Extremamente (4)","Bastante (3)","Extremamente (4)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Sim","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Nada (0)","Extremamente (4)","Nada (0)","Extremamente (4)","Bastante (3)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Bastante (3)","Bastante (3)","Bastante (3)","Nada (0)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Extremamente (4)","Nada (0)","Moderadamente (2)","Moderadamente (2)","Nada (0)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Parte visual","bugs de movimento","musica mais ambiente no menu",":)"
"2026/06/16 11:13:48 PM GMT+1","Sim, concordo","23","Masculino","Todos os dias","Muito elevada","Não","Sim","Sim","Com outros jogadores","6","Concordo","Discordo totalmente","Concordo totalmente","Discordo","Discordo totalmente","Discordo","Nem concordo nem discordo","Discordo","Concordo totalmente","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Moderadamente (2)","Bastante (3)","Nada (0)","Extremamente (4)","Extremamente (4)","Bastante (3)","Extremamente (4)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Nada (0)","Nada (0)","Moderadamente (2)","Extremamente (4)","Extremamente (4)","Nada (0)","Extremamente (4)","Nada (0)","Nada (0)","Extremamente (4)","Nada (0)","Extremamente (4)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Sim","Bastante (3)","Ligeiramente (1)","Bastante (3)","Nada (0)","Extremamente (4)","Ligeiramente (1)","Nada (0)","Extremamente (4)","Nada (0)","Ligeiramente (1)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Nada (0)","Ligeiramente (1)","Moderadamente (2)","Bastante (3)","Bastante (3)","Extremamente (4)","Nada (0)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Extremamente (4)","Moderadamente (2)","Ligeiramente (1)","Bastante (3)","Nada (0)","Ligeiramente (1)","Empurrar pessoas","Empurrar pessoas","Dar para alterar o nível de dificuldade das perguntas",""
"2026/06/16 11:16:59 PM GMT+1","Sim, concordo","22","Masculino","Todos os dias","Muito elevada","Não","Sim","Sim","Com outros jogadores","6","Concordo","Concordo totalmente","Nem concordo nem discordo","Nem concordo nem discordo","Concordo","Discordo","Concordo","Discordo","Concordo","Bastante (3)","Moderadamente (2)","Nada (0)","Moderadamente (2)","Moderadamente (2)","Bastante (3)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Bastante (3)","Nada (0)","Extremamente (4)","Ligeiramente (1)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Sim","Nada (0)","Extremamente (4)","Extremamente (4)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Nada (0)","Bastante (3)","Bastante (3)","Bastante (3)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Bastante (3)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Nada (0)","Nada (0)","Ligeiramente (1)","Nada (0)","o facto de se poder alterar as respostas dos outros nos botoes","os controlos e o facto de nao se conseguir altera-los","perguntas mais dificeis",""
"2026/06/16 11:17:36 PM GMT+1","Sim, concordo","22","Masculino","Várias vezes por semana","Elevada","Não","Sim","Sim","Com outros jogadores","6","Concordo","Concordo","Concordo","Discordo","Concordo totalmente","Discordo totalmente","Concordo","Nem concordo nem discordo","Concordo totalmente","Bastante (3)","Bastante (3)","Extremamente (4)","Moderadamente (2)","Bastante (3)","Bastante (3)","Bastante (3)","Moderadamente (2)","Bastante (3)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Bastante (3)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Bastante (3)","Extremamente (4)","Bastante (3)","Bastante (3)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Sim","Ligeiramente (1)","Bastante (3)","Bastante (3)","Bastante (3)","Extremamente (4)","Ligeiramente (1)","Nada (0)","Bastante (3)","Ligeiramente (1)","Bastante (3)","Bastante (3)","Bastante (3)","Nada (0)","Extremamente (4)","Bastante (3)","Extremamente (4)","Extremamente (4)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Bastante (3)","Ligeiramente (1)","Nada (0)","Moderadamente (2)","Moderadamente (2)","Nada (0)","Nada (0)","Bastante (3)","Nada (0)","perguntas costumizadas","nao saber qual era a minha cadeira","saber qual é a minha cadeira, algo a dizer o que o vigia faz, perguntas mais dificeis, menos tempo por pergunta.",""
"2026/06/17 12:43:31 AM GMT+1","Sim, concordo","23","Feminino","Uma vez por semana","Moderada","Não","Sim","Não","Com outros jogadores","2","Concordo","Concordo","Concordo","Nem concordo nem discordo","Concordo","Nem concordo nem discordo","Concordo totalmente","Concordo","Concordo","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Bastante (3)","Ligeiramente (1)","Sim","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Extremamente (4)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Extremamente (4)","Bastante (3)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Nada (0)","Ligeiramente (1)","Bastante (3)","Nada (0)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Bastante (3)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","perguntas sobre os topicos que escolhemos","nao conseguir passar os obstaculos","mais tempo para responder às perguntas e poder dar mute ao micro",""
"2026/06/17 12:46:03 AM GMT+1","Sim, concordo","22","Masculino","Todos os dias","Muito elevada","Não","Sim","Sim","Com outros jogadores","3","Concordo totalmente","Concordo","Concordo","Concordo","Discordo totalmente","Discordo totalmente","Concordo","Nem concordo nem discordo","Concordo","Ligeiramente (1)","Nada (0)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Nada (0)","Bastante (3)","Nada (0)","Bastante (3)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Bastante (3)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Sim","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","a parte das perguntas","a parte do parkour","a parte do parkour","não percebi o que fazia o vigia, as perguntas estavam bem tensas para os temas escolhidos"
"2026/06/17 10:37:52 AM GMT+1","Sim, concordo","22","Masculino","Várias vezes por semana","Moderada","Não","Sim","Sim","Com outros jogadores","6","Concordo totalmente","Concordo","Discordo","Concordo","Concordo","Discordo totalmente","Nem concordo nem discordo","Concordo","Concordo","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Bastante (3)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Nada (0)","Bastante (3)","Moderadamente (2)","Nada (0)","Ligeiramente (1)","Ligeiramente (1)","Bastante (3)","Nada (0)","Nada (0)","Moderadamente (2)","Nada (0)","Sim","Ligeiramente (1)","Bastante (3)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Bastante (3)","Nada (0)","Nada (0)","Ligeiramente (1)","Moderadamente (2)","Nada (0)","Moderadamente (2)","Bastante (3)","Moderadamente (2)","Bastante (3)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Ligeiramente (1)","Nada (0)","Nada (0)","Moderadamente (2)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Nada (0)","Parkour","Parkour","As perguntas são MEGA fáceis. Fix your Grok lil bro. O AI vai só buscar tipo as 5 perguntas mais óbvias sobre um tópico e mete. Óbvias, neste caso, não significa o mesmo que fácil. Óbvias no sentido de mais fáceis de encontrar informação sobre, mais à mão. Perguntas simples.","1 - Põe a corrida com Hold shift em vez de toggle, Ctrl para crouch em vez de C.

2 - Adiciona a opção de sair da cadeira se carregares nas setas de movimento. 

3 - Aumenta o tempo para a secção de parkour ou diminui o quão punishing é ser empurrado para fora ou cair do mapa. Tipo checkpoints, em vez de voltar sempre à sala inicial. 

4 - Fix your grok lil bro. 

5 - O papel do vigia foi meio inutil na minha experiencia. Estive a falar o tempo todo e nunca fui mandado para a prisão. O multitasking dele é meio mau se muita gente estiver a falar ao mesmo tempo. 

6 - Adicona poder empurrar pessoas mesmo que estejam sentados. Tipo empurrar para fora da cadeira. 

7 - Faz com que seja mais fácil de perceber de quem é cada mesa. Tipo põe o nome do jogador na mesa. Várias pessoas ficaram confusas com isso.

8 - A distribuição dos botões pelas mesas da sala ser random não me parece a melhor ideia. Os padrões criados podem ser meio feios. Devias criar padrões preset que pareçam bem. Tipo simétricos, ou realistas, e dps escolher a partir da pool randomly.

9 - Deixar os jogadores escolher as skins no início do jogo.

10 - Adiciona tipo um overlay no jogo que mostra quem está a falar. Por exemplo ou pôr os nomes no canto superior esquerdo no ecrã com um simbolo de megafone que aumenta as barras quando falam. Ou o nome e o megafone estão a cinzento escuro e quando falam fica a branco. Ou simplesmente adiciona essa feature no nome que aparece em cima da cabeça de cada jogador. Ou faz os 2.

11 - Não sei como é que o código do vigia está feito mas acho que ele devia mudar de target baseado em volume de som. Tipo só muda de target se alguem falar mais alto do que o último som válido vindo do current target. Não contabilizar como som válido estar calado. Senão podes só falar pa crl e dps calas-te assim que o vigia chega perto de ti. Devias haver um certo timer no vigia que faz countdown assim que o target se cala para perder o aggro. Para teres de te calar com alguma antecedência. Actually não sei se a cena do falar mais alto e muito boa ideia, porque parece-me meio dificil de fazer e de perceber mas ya, vê tu o q achas.

12 - Adiciona uma animação ao empurrar um jogador, para se perceber melhor quando empurras alguem.

13 - Mete o cooldown para poderes empurrar outra vez maior. É demasiado OP na secção de parkour poderes só empurrar infinitamente. Also a barra de cooldown podia aparecer no ecrã.

14 - Meter tipo um ping ativo que toda a gente consegue ver na próxima sala de aula durante a secção de parkour para toda a gente saber para onde tem de ir.

15 - Adicionar emotes. Todos os slop games têm uma emote wheel hj em dia. Mete uma cena semelhante

16 - Adiciona uma chance de ganhares um item de roupa ou uma cena assim quando ganhas o lobby, ou top 3 em lobbies grandes ou uma cena assim. (Loot boxes). Mais retention de playerbase talvez??

17 - Nem sei se o jogo actually tem um lobby leader. Mas se não tiver, adiciona. E deixa o lobby leader ter a opção de adicionar perguntas custom.

18 - Possivelmente ter mais do q um vigia em lobbies grandes em rondas mais avançadas.

19 - Adiciona itens interagíveis na sala de aula. Tipo uma corneta que faz barulho e chama o vígia. Ou tipo cenas que podes atirar, tipo aviao de papel ou cenas assim. Also tipo adiciona a opção de passar papeis a pessoas específicas com cenas escritas. Tipo fazer batota durante o teste. Mas se fores apanhado pelo vigia a passar o papel es tipo kickado da ronda  ou da pergunta.

20 - FIX YOUR GROK LIL BRO! E dropa uma nuke neste questionário péssimo!"
"2026/06/21 3:31:43 PM GMT+1","Sim, concordo","23","Masculino","Raramente","Moderada","Sim","Sim","Sim","Com outros jogadores","3","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo","Concordo","Concordo","Concordo totalmente","Concordo totalmente","Bastante (3)","Extremamente (4)","Ligeiramente (1)","Bastante (3)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Ligeiramente (1)","Nada (0)","Bastante (3)","Nada (0)","Bastante (3)","Ligeiramente (1)","Extremamente (4)","Extremamente (4)","Nada (0)","Moderadamente (2)","Moderadamente (2)","Bastante (3)","Extremamente (4)","Extremamente (4)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Nada (0)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Sim","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Nada (0)","Bastante (3)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Moderadamente (2)","Ligeiramente (1)","Ligeiramente (1)","Ligeiramente (1)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Bastante (3)","Nada (0)","Nada (0)","Bastante (3)","Nada (0)","Nada (0)","Moderadamente (2)","Ligeiramente (1)","Nada (0)","Nada (0)","Nada (0)","Moderadamente (2)","Nada (0)","Corrida de obstáculos","Compassos e alguns saltos ","O vigia podia fazer alguma coisa quando nos movimentamos na sala durante o questionário, desde que não fizéssemos barulho podíamos passar em frente dele sem precisar de nos esconder ou desviar dele para a opção de sabotar os outros participantes","Bom jogo e com algumas melhorias ode tornar-se ainda mais excelente"
"2026/06/23 9:41:51 PM GMT+1","Sim, concordo","21","Masculino","Menos de uma vez por semana","Elevada","Sim","Sim","Sim","Com outros jogadores","2","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Extremamente (4)","Extremamente (4)","Nada (0)","Bastante (3)","Bastante (3)","Bastante (3)","Bastante (3)","Moderadamente (2)","Bastante (3)","Extremamente (4)","Moderadamente (2)","Extremamente (4)","Moderadamente (2)","Moderadamente (2)","Extremamente (4)","Ligeiramente (1)","Extremamente (4)","Moderadamente (2)","Bastante (3)","Extremamente (4)","Bastante (3)","Moderadamente (2)","Ligeiramente (1)","Moderadamente (2)","Moderadamente (2)","Bastante (3)","Bastante (3)","Moderadamente (2)","Nada (0)","Extremamente (4)","Bastante (3)","Ligeiramente (1)","Nada (0)","Sim","Moderadamente (2)","Nada (0)","Moderadamente (2)","Extremamente (4)","Bastante (3)","Bastante (3)","Moderadamente (2)","Extremamente (4)","Bastante (3)","Bastante (3)","Bastante (3)","Ligeiramente (1)","Moderadamente (2)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Extremamente (4)","Nada (0)","Nada (0)","Extremamente (4)","Extremamente (4)","Nada (0)","Bastante (3)","Extremamente (4)","Nada (0)","Nada (0)","Nada (0)","Extremamente (4)","Ligeiramente (1)","Nada (0)","Nada (0)","Extremamente (4)","Nada (0)","A corrida de obstáculos","A corrida de obstáculos na parte dos compassos e das bolas","colocaria o voice chat um bocado mais proximo, e aumentaria um pouco mais o tempo da corrida de obstáculos na da 3 a 4 sala, no percurso em que ha compassos e bolas.",""
